date,open,high,low,close,volume
2000-05-09,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,292568655
2000-05-10,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,96834782
2000-05-11,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,235518706
2000-05-12,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,756287160
2000-05-15,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,104341355
2000-05-16,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,310021436
2000-05-17,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,32278260
2000-05-18,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,178468756
2000-05-19,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,131365015
2000-05-22,2.2449730749940503e-05,2.2449730749940503e-05,1.7927483522332287e-05,2.24497307499405e-05,195921537
2000-05-23,2.244973463413976e-05,2.244973463413976e-05,1.792748662410304e-05,1.792748662410304e-05,171056016
2000-05-24,1.792748662410304e-05,1.792748662410304e-05,1.792748662410304e-05,1.792748662410304e-05,656825077
2000-05-25,2.2449730749940503e-05,2.2449730749940503e-05,1.7927483522332287e-05,2.24497307499405e-05,374390293
2000-05-26,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,114099899
2000-05-29,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,528087361
2000-05-30,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,381896866
2000-05-31,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,766421032
2000-06-01,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,552952882
2000-06-02,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,66808493
2000-06-05,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,252971486
2000-06-06,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,0
2000-06-07,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,285249747
2000-06-08,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,153884732
2000-06-09,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,659452377
2000-06-12,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,220693225
2000-06-13,2.2449730754047434e-05,2.6971980332746167e-05,2.2449730754047434e-05,2.697198033274617e-05,674465522
2000-06-14,2.2449730749940503e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,129113043
2000-06-15,2.2449730749940503e-05,2.2449730749940503e-05,2.2449730749940503e-05,2.24497307499405e-05,292568655
2000-06-16,2.2449730749940503e-05,2.697198032781194e-05,2.2449730749940503e-05,2.24497307499405e-05,602402427
2000-06-19,2.2449730754047434e-05,2.6971980332746167e-05,2.2449730754047434e-05,2.697198033274617e-05,602402427
2000-06-20,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,17265116
2000-06-21,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,505942973
2000-06-22,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,0
2000-06-23,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,399349646
2000-06-26,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,228199798
2000-06-27,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,585137311
2000-06-28,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,706743782
2000-06-29,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,627549445
2000-06-30,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,503315673
2000-07-03,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,106593326
2000-07-04,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,403853590
2000-07-05,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,744651973
2000-07-06,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,121418807
2000-07-07,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,562992923
2000-07-10,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,282247118
2000-07-11,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,332541153
2000-07-12,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,64556521
2000-07-13,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,617415572
2000-07-14,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,235518706
2000-07-17,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,163643276
2000-07-18,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,30026289
2000-07-19,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,493932457
2000-07-20,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,104341355
2000-07-21,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,731515471
2000-07-24,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,481171285
2000-07-25,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,741649344
2000-07-26,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,265732659
2000-07-27,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,210559353
2000-07-28,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,153884732
2000-07-31,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,228199798
2000-08-01,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,220693225
2000-08-02,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,138871587
2000-08-03,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,495902933
2000-08-04,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,237958342
2000-08-07,2.6971980332746167e-05,2.6971980332746167e-05,2.6971980332746167e-05,2.697198033274617e-05,9758544
