date,open,high,low,close,volume
2008-01-08,3.159251666876702,3.20035719871521,3.082912738282908,3.20035719871521,345321
2008-01-09,3.1974192975696565,3.1974192975696565,3.0447421001959576,3.082911252975464,361652
2008-01-10,3.126954435372353,3.20035719871521,3.126954435372353,3.20035719871521,224305
2008-01-11,3.229716708932176,3.229716708932176,3.068230629212369,3.082911252975464,222770
2008-01-14,3.082912059668199,3.1563146114349365,3.082912059668199,3.1563146114349365,249150
2008-01-15,3.082912151548233,3.1416344682977773,3.0564872555748996,3.1269538402557373,114316
2008-01-16,3.0682313442230225,3.156314521072532,2.980148167373513,3.0682313442230225,144605
2008-01-17,3.0829123143684947,3.0829123143684947,2.933171033859253,2.933171033859253,88075
2008-01-18,2.9067450831406516,3.112272262573242,2.9067450831406516,3.112272262573242,206160
2008-01-21,3.0095097565374744,3.0095097565374744,2.874448714008361,2.933171033859253,186618
2008-01-22,2.9361062049865723,3.053550617337636,2.9067451507534496,2.9361062049865723,263248
2008-01-23,2.880321124641617,2.8920653935231915,2.73057983992455,2.833343267440796,188572
2008-01-24,2.9214253847421525,3.0095089382786657,2.9067451507534496,2.9361062049865723,167635
2008-01-28,2.9507869783004956,2.9801478385925293,2.8627038111686485,2.9801478385925293,305541
2008-01-29,3.024189367685941,3.024189367685941,2.9067451507534496,2.9361062049865723,108733
2008-01-30,2.9331698002253206,2.936105768419085,2.8920640959086397,2.9067447185516357,208951
2008-01-31,3.0095099841395982,3.0682319175942405,2.818663163010751,2.877384901046753,383287
2008-02-01,2.936107280112923,3.009510040283203,2.8480240851597722,3.009510040283203,202112
2008-02-06,2.933170236356261,2.95078682981242,2.8627036671130512,2.9361062049865723,69790
2008-02-07,2.9361063527358966,2.9801478385925293,2.892064671460682,2.9801478385925293,22193
2008-02-08,2.9948277128508343,3.0652942679622277,2.9801470909691328,3.0535500049591064,223747
2008-02-11,3.068230816688333,3.1533780097961426,3.0652948480911664,3.1533780097961426,164983
2008-02-12,3.1269535989362596,3.2003563426444464,3.1122727766085823,3.141634225845337,311124
2008-02-13,3.068231185953136,3.1416341226692577,3.0359343549859235,3.0799758434295654,81235
2008-02-14,3.141633974238159,3.141633974238159,2.994828498579143,3.0212535858154297,29032
2008-02-15,3.021254030564102,3.0241899998080957,2.9537234158358223,2.994828939437866,14097
2008-02-18,3.0682309560230916,3.0829115813498835,3.0095090409716594,3.038870096206665,167077
2008-02-19,3.0682316830329652,3.1563148696090733,2.9390433611415316,3.0241901874542236,279718
2008-02-20,3.024189297341313,3.112272262573242,2.9948282437911478,3.112272262573242,246359
2008-02-21,3.112272460217929,3.1709947664659843,3.0564867089740817,3.1298892498016357,50248
2008-02-22,3.220908041133288,3.220908041133288,3.1122717504932385,3.1709940433502197,81654
2008-02-25,3.1152094794818495,3.2003564942484752,3.082912059668199,3.1563146114349365,202530
2008-02-26,3.0829119634083404,3.215036630630493,3.0623593980735238,3.215036630630493,151165
2008-02-27,3.2150374387139373,3.2238459344667483,3.141635066208385,3.20035719871521,84027
2008-02-28,3.212100625213112,3.2297174166729747,3.156314477190983,3.2209091186523438,35732
2008-02-29,3.2267807405144033,3.2267807405144033,2.9654672399634987,3.082911252975464,327594
2008-03-03,3.1269530824761764,3.1269530824761764,3.0829114044416444,3.112272262573242,231563
2008-03-04,3.1122717108117794,3.1181442331504066,3.038869383077405,3.0535500049591064,43828
2008-03-05,3.1269538402557373,3.1269538402557373,3.0418066275328597,3.1269538402557373,207555
2008-03-06,3.0682302360037417,3.2003552466834546,3.0535500049591064,3.0535500049591064,329967
2008-03-07,3.0535517354691004,3.08291260503484,2.980148779880176,3.009510040283203,91564
2008-03-10,2.9654674546382673,2.9654674546382673,2.9067451507534496,2.9361062049865723,136928
2008-03-11,2.9361064224406945,3.024189591663685,2.833342627304579,2.8568315505981445,336388
2008-03-12,2.892065227269673,2.892065227269673,2.789301414823655,2.842151403427124,238821
2008-03-13,2.818662700474197,2.818662700474197,2.730579521618536,2.7599403858184814,121295
2008-03-14,2.8333435029529097,2.8333435029529097,2.7012186105757685,2.768749237060547,166519
2008-03-17,2.7687489357710593,2.7687489357710593,2.601390861194849,2.6395602226257324,560693
2008-03-18,2.6924100673157647,2.701218366622925,2.5338604843682555,2.701218366622925,684920
2008-03-19,2.7158988512172217,2.7158988512172217,2.639560131005212,2.6718573570251465,213418
2008-03-20,2.665984464687436,2.686537027359009,2.6131344873958233,2.686537027359009,65323
2008-03-24,2.642495632171631,2.715898370045253,2.6131345761058986,2.642495632171631,415809
2008-03-25,2.6424955400603922,2.715898275375366,2.6424955400603922,2.715898275375366,438979
2008-03-26,2.77462044171262,2.818662119776333,2.721770662538445,2.815725564956665,245102
2008-03-27,2.8597679209072813,2.8597679209072813,2.818662787919567,2.8480236530303955,386916
2008-03-28,2.8773847642932773,2.8773847642932773,2.795173905029102,2.833343267440796,169031
2008-03-31,2.789301665441078,2.833343359137531,2.789301665441078,2.8186631202697754,495370
2008-04-01,2.8274709332892054,2.965467929840088,2.8274709332892054,2.965467929840088,1487367
2008-04-02,2.9507863910620813,2.9507863910620813,2.8509585870105023,2.9067447185516357,175871
2008-04-03,2.92142526452051,2.92142526452051,2.8480229250861933,2.9126169681549072,156050
2008-04-04,2.936106969534992,2.936106969534992,2.8627044125477914,2.9038095474243164,16330
2008-04-07,2.9361064931810907,2.9361064931810907,2.877384183532365,2.8920648097991943,75233
2008-04-08,2.9184904303417785,2.921426399992394,2.877384901046753,2.877384901046753,107476
2008-04-09,2.9361060054355943,2.9361060054355943,2.9067449531979808,2.9184892177581787,37267
2008-04-10,2.906744871562559,2.9214251041412354,2.906744871562559,2.9214251041412354,29451
2008-04-11,2.921425852886444,2.9801481661812272,2.921425852886444,2.965467929840088,279439
2008-04-14,2.947850914596547,2.947850914596547,2.8480230938927833,2.850959062576294,127715
2008-04-15,2.936106969534992,2.936106969534992,2.8773846503591587,2.9038095474243164,107476
2008-04-16,2.933170236356261,2.95078682981242,2.909681119383761,2.9361062049865723,294235
2008-04-17,2.9361062049865723,2.95078682981242,2.9361062049865723,2.9361062049865723,837
2008-04-18,2.9654676839896923,2.9918925762176514,2.9654676839896923,2.9918925762176514,179081
2008-04-22,2.9361066766580604,3.0682313442230225,2.862704126992771,3.0682313442230225,560135
2008-04-23,3.0682313429954964,3.0682313429954964,2.9067456165453045,2.965467929840088,761270
2008-04-24,2.994828313452818,2.994828313452818,2.9067451507534496,2.9361062049865723,487414
