date,open,high,low,close,volume
2014-08-06,86.08208372654059,87.0116958618164,85.60612276719155,87.0116958618164,19141
2014-08-07,87.01170138549013,87.75539114092167,85.56894144430413,85.67305755615234,27491
2014-08-08,85.53175040552095,86.5134205414743,85.53175040552095,85.73998260498047,19303
2014-08-11,85.75487136976817,88.87093353271484,85.75487136976817,88.87093353271484,24466
2014-08-12,88.0156807619219,88.27597103959468,87.12325533164308,87.68102264404297,14718
2014-08-13,87.75537318099686,87.75537318099686,86.2679939745393,86.35723876953125,15549
2014-08-14,86.92988953999996,87.0116958618164,86.3795607446093,87.0116958618164,15657
2014-08-15,87.31660402732369,88.12722301768441,87.1455529122916,88.08260345458984,6407
2014-08-18,87.37611820211168,87.75540161132812,87.01171176716433,87.75540161132812,19370
2014-08-19,87.2348249155931,88.49909543800317,87.04890244618552,88.11981201171875,11262
2014-08-20,87.82975666487002,88.49907856188322,87.38354395816201,88.31315612792969,17095
2014-08-21,88.27596282958984,88.4990720033608,87.77025361975743,88.27596282958984,7958
2014-08-22,88.05287670092832,88.49908946259778,86.29776825431246,86.41675567626953,20148
2014-08-25,87.23479884905325,87.66613453702519,86.81832878377091,87.60664367675781,10255
2014-08-26,87.53227099967455,88.42470199894414,87.45790316821088,88.35033416748047,12007
2014-08-27,88.49908862253612,88.87093353271484,87.75539880217868,88.87093353271484,7636
2014-08-28,88.87092177440071,88.9452896118164,87.98592918961778,88.9452896118164,12473
2014-08-29,88.94529892901188,90.17238823356887,87.45791932928292,87.86695098876953,44371
2014-09-01,87.74050597397505,88.83372497558594,86.6472812984625,88.83372497558594,12455
2014-09-02,88.81885343572779,88.81885343572779,87.75537702951573,87.94129943847656,16055
2014-09-03,88.31316899445098,89.19816172465492,87.75540161132812,87.75540161132812,16197
2014-09-04,87.76282088404287,88.4990720798804,87.75538239853688,88.45445251464844,15579
2014-09-05,88.41728210449219,88.41728210449219,87.75539861966291,88.41728210449219,7240
2014-09-08,88.40239781648812,88.40239781648812,87.7553857265772,87.90412139892578,11300
