Date,Open,High,Low,Close,Volume,Currency
2011-05-19,2012.33,2030.81,1991.61,2001.54,0,BRL
2011-05-20,2001.54,2015.03,1984.11,1997.53,0,BRL
2011-05-23,1997.04,1997.04,1960.98,1982.19,0,BRL
2011-05-24,1982.67,2008.82,1982.67,2006.19,0,BRL
2011-05-25,2006.19,2025.27,1995.09,2011.87,0,BRL
2011-05-26,2011.38,2030.4,2004.51,2028.11,0,BRL
2011-05-27,2028.71,2048.96,2028.71,2039.28,0,BRL
2011-05-30,2039.43,2048.24,2031.79,2032.39,0,BRL
2011-05-31,2032.71,2068.42,2030.21,2068.42,0,BRL
2011-06-01,2068.53,2068.81,2023.17,2023.17,0,BRL
2011-06-02,2023.17,2044.93,2013.83,2041.7,0,BRL
2011-06-03,2041.7,2060.27,2025.61,2031.22,0,BRL
2011-06-06,2031.22,2036.47,1980.65,1985.17,0,BRL
2011-06-07,1985.17,2012.17,1983.09,1987.03,0,BRL
2011-06-08,1984.69,1989.68,1957.88,1972.33,0,BRL
2011-06-09,1972.15,1984.25,1963.96,1974.38,0,BRL
2011-06-10,1974.38,1974.38,1942.7,1948.37,0,BRL
2011-06-13,1948.41,1955.28,1917.91,1919.47,0,BRL
2011-06-14,1919.67,1941.45,1919.67,1931.67,0,BRL
2011-06-15,1931.5,1931.5,1908.76,1914.45,0,BRL
2011-06-16,1914.45,1930.69,1881.86,1888.38,0,BRL
2011-06-17,1888.47,1899.45,1868.73,1879.76,0,BRL
2011-06-20,1879.76,1893.29,1868.14,1879.87,0,BRL
2011-06-21,1880.01,1893.65,1877.65,1890.26,0,BRL
2011-06-22,1889.42,1905.1,1882.07,1885.69,0,BRL
2011-06-24,1885.8,1903.15,1878.71,1880.6,0,BRL
2011-06-27,1880.6,1890.47,1867.19,1885.01,0,BRL
2011-06-28,1884.89,1918.11,1884.6,1917.11,0,BRL
2011-06-29,1917.07,1952.02,1909.18,1939.26,0,BRL
2011-06-30,1940.18,1953.23,1925.74,1941.06,0,BRL
2011-07-01,1941.06,1981.48,1930.91,1975.68,0,BRL
2011-07-04,1975.54,2005.22,1972.82,2004.54,0,BRL
2011-07-05,2004.56,2007.52,1973.71,1974.35,0,BRL
2011-07-06,1974.21,1974.21,1951.79,1964.62,0,BRL
2011-07-07,1964.58,1990.06,1964.01,1965.63,0,BRL
2011-07-08,1965.59,1965.73,1930.56,1936.4,0,BRL
2011-07-11,1936.49,1936.49,1885.05,1890.32,0,BRL
2011-07-12,1890.32,1890.55,1854.89,1854.89,0,BRL
2011-07-13,1854.89,1889.06,1854.89,1874.58,0,BRL
2011-07-14,1874.98,1877.42,1835.46,1843.54,0,BRL
2011-07-15,1843.45,1858.05,1819.24,1824.32,0,BRL
2011-07-18,1824.32,1826.84,1799.84,1808.17,0,BRL
2011-07-19,1808.38,1830.9,1798.22,1816.1,0,BRL
2011-07-20,1817.94,1833.33,1805.36,1805.36,0,BRL
2011-07-21,1805.4,1853.09,1804.88,1844.04,0,BRL
2011-07-22,1844.32,1862.23,1827.27,1828.11,0,BRL
2011-07-25,1828.11,1828.11,1804.48,1812.89,0,BRL
2011-07-26,1812.8,1818.15,1776.94,1777.54,0,BRL
