side,h,avg,n
top,1,0.003492002377074717,37
top,5,0.010371617360140794,37
top,20,0.017515464136066656,37
bottom,1,-0.0036122066125351014,37
bottom,5,-0.00991526796086129,37
bottom,20,0.009237770051973982,37
