month,avg,count,std,t,p
1,0.0006760387156454517,418,0.014409599719351601,0.9591969564328418,0.3380153417518925
2,0.0003328080849566249,374,0.013654081100049635,0.47137570088192776,0.6376480490894441
3,0.0007951199944270167,428,0.015953232223212772,1.0311120732141035,0.3030719390319072
4,0.0013364010599566838,399,0.013398993211486496,1.9922832890415538,0.04702268149786593
5,-0.0002131200354474671,424,0.013649048507679533,-0.3215176588121301,0.7479769431888756
6,-0.0001623591837380422,413,0.013421234873985822,-0.24584388390655065,0.8059255086132127
7,0.0010210139110967808,432,0.012108352502642689,1.7526228796542882,0.08037778147879855
8,0.00021407166277300047,443,0.013575879033052438,0.33188917376205807,0.7401302640077614
9,0.0006308462199303891,434,0.014191616447094239,0.9260544110673268,0.3549335473474513
10,0.00041198702563844856,428,0.017097144879587522,0.4985191340991041,0.618374875016773
11,0.0007713507762079698,388,0.015276262997810323,0.994605043297078,0.32054985837823563
12,0.0008356018056859208,395,0.012810019175807319,1.296427210374071,0.19558714582600098
