weekday,avg,count,std,anova_F,anova_p
0,-0.0005204744428672529,1207,0.013682514998322971,2.185204773327146,0.04145417286097699
1,0.0010642307022186133,1210,0.012970293857984455,2.185204773327146,0.04145417286097699
2,0.0012668966729360495,1229,0.013394459893855647,2.185204773327146,0.04145417286097699
3,0.0005626091167872324,1208,0.013756316826771125,2.185204773327146,0.04145417286097699
4,0.0005945716568144386,1199,0.01274582297092234,2.185204773327146,0.04145417286097699
5,0.0,1,,2.185204773327146,0.04145417286097699
6,0.0,1,,2.185204773327146,0.04145417286097699
