month,avg,count,std,t,p
1,0.00022173095508637463,543,0.014822718925393802,0.34857671202285484,0.7275424720142643
2,0.000677458962456005,487,0.014121821748721503,1.0586605941370346,0.29028026513765964
3,0.0008628581336991962,556,0.015478275573558941,1.3144807141334314,0.18922743340698023
4,0.001353875835262655,520,0.013771537338497217,2.241806296653438,0.025395603496509402
5,0.0001928089025780034,553,0.015071474874584325,0.30083883244435916,0.7636506727870709
6,0.0010989419681350168,537,0.013499189187756486,1.8864887435526247,0.05976940602459706
7,0.0006830136464436347,562,0.012659545340830568,1.2790261684367545,0.20141663743748578
8,0.0003806613882852761,577,0.013493565184599772,0.6776415424903937,0.49827109322352636
9,-0.00047679362779491045,539,0.013843159710497918,-0.7996309507577329,0.42427755552252844
10,0.0004500933915383667,538,0.015270474169982794,0.6836617015709348,0.49448369561579497
11,0.0009745176298823129,489,0.013831088409407518,1.5580728951610439,0.11986422442787431
12,0.0016667505359505876,493,0.012714945441527886,2.9105801428029814,0.003771143112329255
