side,h,avg,n
top,1,-0.0017762600610776978,48
top,5,-0.00764759853798187,48
top,20,0.01593818172222318,48
bottom,1,-0.0006354184029437835,48
bottom,5,-0.01155536776998019,48
bottom,20,-0.04250992024556974,48
