month,avg,count,std,t,p
1,7.427689662693736e-05,502,0.013454543365619841,0.1236905856702313,0.9016098727511299
2,0.0005408438163673923,448,0.012748650263193256,0.8979386565283572,0.36970164535367733
3,0.0004982359175784956,512,0.014713845830498251,0.7662029356761875,0.4439093517260251
4,0.0008503128930341025,481,0.012486591077838515,1.4935075180457866,0.13596141037502724
5,0.00016845112145903138,526,0.01327608195745262,0.29100258972337945,0.7711642656171586
6,0.00023672135197518095,516,0.01289072197326479,0.4171430783005269,0.6767475859885546
7,0.0009892346685389034,539,0.01163925256259887,1.973188695113071,0.04898546402956821
8,0.0008138491462339873,554,0.012953409855628376,1.478817861500197,0.13975836956140344
9,-0.00028584025046817006,519,0.013203422524865593,-0.4931971306147767,0.6220823205313843
10,0.0006863500871685183,516,0.015499496930386873,1.0058956766578762,0.3149381336808108
11,0.001286752146129696,468,0.014437173630931091,1.9281270532387753,0.054445272896771396
12,0.001397751971213754,474,0.012121441027339046,2.5105277796802747,0.012387687163760257
