side,h,avg,n
top,1,-0.0034887204376971293,36
top,5,-0.00853947251889752,36
top,20,0.02020235503590747,36
bottom,1,0.0024038578110674633,36
bottom,5,-0.01563469579640899,36
bottom,20,0.0004561244058646928,36
