month,avg,count,std,t,p
1,0.0001617868131190091,418,0.014025796702818715,0.23583253619373182,0.8136784018905371
2,-0.000124583531994862,374,0.013157129452167475,-0.18311979460118233,0.854803519180277
3,0.0005786369454455619,427,0.01574464085222045,0.7594292818702061,0.4480158265392943
4,0.0013016949092236837,399,0.012965962630536981,2.005353261319694,0.04560184254115139
5,0.00023383840621598155,424,0.013446847721641108,0.358078531562905,0.7204631632121676
6,5.490211461516946e-05,412,0.01282841851638932,0.08686894759658151,0.9308179878296189
7,0.0008932050978166144,432,0.011441965199980099,1.6225289106811076,0.10542134640149287
8,0.00026570904539558626,443,0.013010994493462267,0.4298309752301585,0.667528068692743
9,8.205630352254885e-05,415,0.013253865799898326,0.12612274907305362,0.8996959866772883
10,4.631831835043452e-05,408,0.01590767439630636,0.05881338444109191,0.9531296129836051
11,0.0002398092243327059,368,0.015158744563195027,0.30347754270583427,0.7616979259425156
12,0.0009124522020679424,393,0.012582743729795358,1.4375767732233136,0.15135193296535684
