side,h,avg,n
top,1,-0.0030245973948492613,37
top,5,-0.006655578495182859,37
top,20,0.029924826260418896,37
bottom,1,0.0076953184436503305,37
bottom,5,-0.004515396044968348,37
bottom,20,0.021331085328734078,37
