side,h,avg,n
top,1,-0.000690852036984629,61
top,5,-0.00786903906103281,61
top,20,0.014935607223487152,61
bottom,1,0.00683940957639875,61
bottom,5,0.0029838118013198168,61
bottom,20,0.01568935557884198,61
