month,avg,count,std,t,p
1,0.00024040003608979602,254,0.012773442569099833,0.2999462434306871,0.7644644516257504
2,-6.751730666907991e-05,225,0.011901112139113186,-0.08509789574268026,0.9322595725570358
3,0.0008847455337094996,256,0.013578866206081626,1.0424970925048165,0.29816860311076965
4,0.0007971136739205678,239,0.011933857523313749,1.0326148376233135,0.30283233467008636
5,0.0003572033141679602,255,0.011335822506207703,0.5031906152088047,0.6152663276263373
6,0.0007888223174970171,248,0.010527051729735101,1.1800441944487439,0.23911786466762422
7,0.0012258125552710736,262,0.009219430410445118,2.1521405001847134,0.032303496845355925
8,0.00034566155838308774,285,0.010793602039237325,0.5406386774570892,0.5891804060505306
9,-0.00013446903518684822,272,0.011253980558214012,-0.19706095370694696,0.8439275513215198
10,0.0002897407095985175,260,0.012726693764050945,0.3670968005149239,0.7138465695948945
11,0.00040757401677536794,234,0.013103683922840432,0.475796244096333,0.6346653349863607
12,0.000481140168264361,237,0.011156024232228614,0.6639514746413959,0.5073694896535659
