month,avg,count,std,t,p
1,0.00045584302234890896,542,0.01453063236636496,0.7303490011527696,0.46549302769898315
2,0.0007122046255066222,487,0.013731258632706264,1.1446136565576266,0.2529326221407839
3,0.0005402912260519552,555,0.015849415413734247,0.8030843414195559,0.42227039238947406
4,0.000633249756730347,520,0.014241590134761733,1.0139539247258766,0.3110771928996479
5,2.563314849432599e-05,553,0.01400327287477231,0.04304621468337514,0.9656802600500791
6,5.733218499430933e-05,536,0.013673105307626478,0.09707641502688436,0.9227020655247342
7,0.0008494218154310132,561,0.01240431752656562,1.6219294759087368,0.10538128317117315
8,0.0006961780956353991,577,0.013450647500154936,1.24326889956993,0.21427456484507765
9,6.76164696568474e-05,539,0.014066654165727208,0.11159791077584508,0.9111838506224194
10,0.0007534790842560873,537,0.016856098768565378,1.0358605098796136,0.3007343228259005
11,0.0008710317832726981,488,0.014702123464585435,1.3087715562811257,0.1912289999529155
12,0.0016036769148727195,493,0.012821273046666718,2.7772129902794074,0.005691990235771938
