n,scenario,cagr,sharpe,base_cagr,base_sharpe
5,remove_best,0.07521351452679292,0.41775507759010166,0.10651359942073624,0.5250484126076896
5,remove_worst,0.14438841794041202,0.669326743725975,0.10651359942073624,0.5250484126076896
10,remove_best,0.05375598217518984,0.3377104833492115,0.10651359942073624,0.5250484126076896
10,remove_worst,0.17089428634458925,0.7698621539274597,0.10651359942073624,0.5250484126076896
20,remove_best,0.020390296628907345,0.2053705418666266,0.10651359942073624,0.5250484126076896
20,remove_worst,0.21427018452088364,0.933100354387896,0.10651359942073624,0.5250484126076896
