side,h,avg,n
top,1,0.0031333618893192063,50
top,5,-0.0010401557568074172,50
top,20,0.028942610574040687,50
bottom,1,0.008940171950365646,50
bottom,5,-0.004297254344039238,50
bottom,20,-0.008932464044149612,50
