month,avg,count,std,t,p
1,0.0008182901025803798,437,0.01616436680680639,1.058252540570404,0.2905262690355027
2,0.0007930942818103836,392,0.01666371477299978,0.9423148360363098,0.3466133200624023
3,0.0008376508390582302,451,0.01911233372795875,0.930759716382996,0.3524769204612459
4,0.0011705885812302841,419,0.016027272374293938,1.4950360923282098,0.13565956731230733
5,0.00011205703406051449,446,0.017191911422248348,0.1376519562576352,0.8905777521674128
6,-6.435532842860068e-05,435,0.015692104031317666,-0.08553580772924252,0.9318748740857369
7,0.0013172903312614944,455,0.014462149800408311,1.9429174409333678,0.05264394990240771
8,0.0008315431483747142,466,0.016001483708587148,1.1218053170760274,0.2625241708986529
9,0.0004064959691044172,436,0.016700970421902418,0.5082270556591187,0.6115517433148295
10,0.0005707363630925449,429,0.02060507993091079,0.5737066526848302,0.5664676652803602
11,0.0008932822723760375,389,0.019179693902387364,0.9185902768660843,0.3588805987167788
12,0.0005019414216332794,395,0.015625221495605298,0.6384478102789217,0.5235531407602594
