month,avg,count,std,t,p
1,0.0005431821363611332,296,0.01347387618494823,0.6935835467221232,0.48848916120962216
2,0.0006082889690267833,262,0.013033863606068096,0.7554181489152679,0.4506792987759405
3,0.0012774607206138483,298,0.015659309053034066,1.4082608044079625,0.16009976654888092
4,0.0015273943905138167,281,0.012157743111608521,2.1059661608757057,0.03609746198893101
5,0.000230402862222556,306,0.013202865333203728,0.3052673731380997,0.760370745809813
6,0.0008300089749456284,309,0.011860184282663616,1.2301854640158298,0.2195664203537839
7,0.0012544197766808385,327,0.009904246028498865,2.290315691985292,0.02264118381370099
8,-0.00024190703621881657,333,0.012676219993939895,-0.34824176050055283,0.7278793365032654
9,-0.0005846197997469127,312,0.012326551763237353,-0.837739924069272,0.4028201224570097
10,0.000860630995367121,302,0.01308535658010007,1.142970161204521,0.25395925367424604
11,0.0006731647195103471,273,0.013867837428526583,0.8020361217288678,0.42323221540713896
12,0.0011652471923533844,276,0.01091020495712064,1.7743516592479138,0.07711135104052243
