side,h,avg,n
top,1,0.0034334165063454746,61
top,5,-0.010368427700388235,61
top,20,-0.005437959678645901,61
bottom,1,0.002220461841936288,61
bottom,5,-0.015178623538400732,61
bottom,20,-0.027670619616276607,61
