month,avg,count,std,t,p
1,-8.183819827619791e-05,418,0.014161276747696948,-0.11815219392808651,0.9060039592406075
2,0.0001956245755713336,374,0.012427942713102316,0.30441074014921693,0.7609847480369065
3,0.0005919797278677705,428,0.015263506908445567,0.8023694628468757,0.42278560737917803
4,0.0016923475846693497,399,0.012767752458657527,2.6476560097162367,0.008427258523304993
5,0.0002137886282704124,424,0.014459554774074918,0.30444763748432124,0.7609366008526046
6,0.00016701819829287965,413,0.01303762307506272,0.2603396994042588,0.7947318133714149
7,0.0012492890234939644,432,0.011146520418750668,2.3295148413020352,0.02029296468229984
8,0.0004435858666888707,443,0.0132139640847703,0.7065557604136773,0.48021487621205194
9,-0.0003717108639902791,434,0.01305364456102979,-0.5932234852664178,0.5533413195189494
10,8.767797857529224e-05,428,0.015758962800966735,0.11510250693802025,0.9084179791105607
11,0.00046221197886833965,388,0.015389486509498635,0.5916064907495563,0.5544595436112185
12,0.001122504542459245,395,0.011911694816655608,1.872893562531305,0.06182335435179342
