weekday,avg,count,std,anova_F,anova_p
0,0.0015571372524792173,630,0.011100812739309728,0.7425594315369287,0.5915230640502349
1,0.0007804684052520418,633,0.011023807156489585,0.7425594315369287,0.5915230640502349
2,0.0008608694544134772,639,0.0106447203516749,0.7425594315369287,0.5915230640502349
3,0.0009235934466961119,629,0.011564800804462696,0.7425594315369287,0.5915230640502349
4,0.00037029362941544744,627,0.011257252711031358,0.7425594315369287,0.5915230640502349
5,0.0,1,,0.7425594315369287,0.5915230640502349
